Profession,Count,avg_bias
designer,631706,-0.04427315764795997
police,526882,0.005417110240446149
sales,469983,0.025867762049057802
artist,456970,-0.02541821728425408
student,449755,-0.07425456110485282
coach,369731,0.06487972615507966
photographer,358175,0.057198978078316524
doctor,351646,-0.0973583641694545
manager,325001,0.08924513033197568
author,302419,-0.0006154613823335772
guard,287680,0.025714963737283335
director,280913,0.050484323738422446
driver,275142,0.07396051539207175
teacher,249393,-0.06923566095474765
chef,212937,0.003794050010326475
officer,186322,0.051208999256021286
worker,170357,-0.032637311957265935
pilot,163091,0.04039347781607922
baker,161589,0.00420760653999448
collector,157619,-0.0035657772271786964
secretary,148992,-0.0014226310465949529
mason,139875,-0.005578495001306676
server,125836,0.006588282272267945
agent,114817,0.013479162503791397
cleaner,111150,0.0021846713209714764
lawyer,106831,0.033318142495765805
dancer,103174,-0.10536526996156058
engineer,99615,0.045497896568501325
soldier,96065,0.1601892206516588
judge,91473,0.04054132717595483
sailor,90596,-0.060629855732317633
farmer,90033,0.008759522956691926
professor,84418,0.031769045066420636
writer,83957,0.017530896414245337
nurse,72663,-0.15001379251503322
architect,71011,0.03338717465814891
painter,65278,-0.030014831259427697
porter,60827,0.09535215353081945
specialist,53358,-0.005369091545188812
carpenter,53135,0.04042246156595288
firefighter,51504,0.018431790950826202
operator,47598,-0.09201313863671413
sheriff,46553,0.02542355755515715
scientist,45992,0.0018580275732415458
instructor,43936,-0.03346412539214989
dentist,41446,-0.10067151583799111
advisor,38149,0.03503879873524631
tailor,36912,-0.002411248278803748
butcher,34342,0.008999611663446138
analyst,32213,0.8742705852415199
therapist,31163,-0.09328607905309079
gardener,29571,-0.07726325675276766
inspector,26374,0.007506702867250574
surgeon,25199,-0.010164753781792824
athlete,24730,0.6289855081475902
courier,23845,0.0429559010539848
broker,22957,0.05128626510769596
teller,22001,0.0037670427582405597
counselor,20448,-0.03506369329242378
conductor,20347,0.023267607925856165
clerk,19534,0.027284577096209652
administrator,19491,0.06389011055855835
weaver,18558,-0.021009517339036252
supervisor,17829,0.017321990726921182
installer,16981,0.129236534328396
plumber,16156,0.00011314550583215035
mechanic,16109,-0.0032022845624487648
musician,15000,0.08841849055108109
practitioner,14185,-0.045433331935307714
pharmacist,13736,-0.09887584143487729
economist,11502,0.05572133616591942
blacksmith,11371,0.041105600149366844
physician,10021,-0.04688219237140977
chemist,9505,-0.09010810386948587
psychologist,9425,-0.018376971809262854
surveyor,9177,0.013906906878260605
flight attendant,7858,-0.06329579591243395
bus driver,7548,0.00936972986307729
medical assistant,7219,0.1084639711276704
midwife,6839,-0.13096804070511142
technician,6576,0.012015533989438932
clergy,6060,0.07062550384075238
cashier,6013,-0.06884119162375009
physicist,5694,0.13230124205928886
shoemaker,5192,0.02624278448217447
dental assistant,4152,0.01708823502458594
customer service representative,3884,-0.06045924923847496
janitor,3646,0.032152699030282186
housekeeper,3333,-0.10534644208341301
software developer,3178,0.06707997949328334
dental hygienist,3050,0.0009818251297334184
nursing assistant,2807,0.026530510774981392
technologist,2736,-0.013343840697744436
salesperson,2504,0.004208248337702886
laborer,2454,-0.000826905198740115
librarian,2166,-0.10237391147653102
auctioneer,2064,0.07289236237282923
paralegal,2030,0.0788955190766904
geologist,1813,0.03899931424720063
interviewer,1680,-0.0007727895021241745
pathologist,1576,0.018962449500805188
mail carrier,1469,0.11790068392141854
teaching assistant,1325,0.040661445937014255
mathematician,1268,0.13106435645499112
repairer,733,0.02138721299510918
postmaster,703,0.01116136107565729
support specialist,648,-0.8840335802734596
jailer,610,0.08033225802772036
bailiff,447,0.049026786332016625
clerical,258,0.15179955490288904
packager,257,-0.02678583868594398
statistician,201,0.09190433279039917
laboratory technologist,114,0.08627770899621423
criminal investigator,64,0.05005117075369017
credit counselor,45,0.048923764754231186
retired,22,0.05764809707795094
data entry keyer,12,-0.06696497112191853
social service assistant,1,0.9114664601910872
